REC_CREATOR	记录创建责任者
REC_CREATE_TIME	记录创建时刻
REC_REVISOR	记录修改责任者
REC_REVISE_TIME	记录修改时刻
ARCHIVE_FLAG	归档标记
DU_MAKER	修改/删除责任者
DU_TIME	修改/删除时间
VERSION	版次
ARCHIVE_STAMP_NO	归档邮戳号
MAT_SAMPLE_NO	物料试样号
MAT_SAMPLE_NAME	物料试样名
SAMPLE_TYPE_CODE	取样类别代码
IN_BATCH_NO	进厂批次号
FIRST_ENTER_DATE	最早进厂日期
SHIP_CNAME	船名（中文）
TON_WET	吨位
PSCS_MAT_CODE	PSCS物料代码
MAT_BATCH_NO	物料品名批号
MAT_PROD_CODE	物料品名代码
PLANT_CODE	厂别代码
VENDOR_CODE	供应商代码
SUPPLY_DEPT_CNAME	供货单位中文名称
ORDER_NO	合同号
UNLOAD_TIME_START	卸料开始时刻
UNLOAD_TIME_END	卸料结束时刻
UNLOAD_QTY	卸料量
MAT_ARRI_TIME	物料到达时刻
MAT_SAMPLE_TIME	物料取样时刻
MAT_SAMPLE_DATE	物料取样日期
MAT_SAMPLE_SHIFT	物料取样班次
MAT_SAMPLE_TEAM	物料取样班别
SAMPLE_SEQ_NO	样序号
PROC_UNIT	工艺单元
UNIT_NO	单元号
MAT_SAMPLE_POS	物料取样位置
IRON_MOUTH_NO	铁口号
IR_TAP_NO	出铁铁次号
TPC_NO	TPC号
SAMPLE_DESC	试样描述
PROC_COLUNM	工艺列
PROC_SLOT	工艺槽
GRINDER_MACHINE_NO	粉碎机器号
STOVE_IRON_NO	炉铁号
SAMPLE_ENTR_NO	试样委托号
INSPECT_BATCH_NO	检验批号
IN_PLANT_WGT	进厂量
MAT_TYPE_CNAME	物料类别中文
MODEL_SIZE	型号规格
SIZE_CNAME1	粒度名
TEST_TIMES	初检复验次数
DATA_RESOURCE	数据资源
STOCK_CODE	库区代码
MAT_SAMPLE_LOCATION	物料取样地点
UNIT_DIFF	单位区分
ANALYSE_FLAG	分析完成标志
DELEGATE_TYPE	委托类型
COMPLEX_SAMPLE_FLAG	综合复样申请标志
COMPLEX_SAMPLE_DESC	综合复样说明
START_HARBOR_NAME	启运港名
MAT_ANALYSE_DATE	物料分析日期
MAT_ANALYSE_TIME	物料分析时刻
ORIGIN_DEST	来源/去向
PROC_UNIT_PC	工艺单元系统
IRON_SAMPLE_TIME	投样时刻
CRACK_TEST_STD	检测标准
DETECT_DATE	检测日期
SIZE_TEST_TIME	检测时间
SIZE_TEST_TIME2	检测时间2
SAMP_DAY	来样日期
RESP_TIME	来样时刻
SAMPLE_DIV	试样区分
INSTR_NO	仪器号
CORRECT_DIFF	整改区分
COKE_DIFF	COKE炉区分
STEEL_PLANT_DIFF	钢厂区分
BOF_NO	转炉号
TH_NO	TH号
YH	样号
TAP_NO	出钢钢号.
TLQH	脱硫前后
SAMPLE_IFGOOD	试样良否
DETECT_DATE1	热裂检测日期
DETECT_DATE2	物理性能检测日期
REVERT_TEST_TIME	还原率检测时间
RDI_TEST_TIME	RDI检测时间
RDI_TEST_STD	RDI检测标准
REVERT_TAKE_SAMPLE_DATE	还原率取样日期
PROC_UNIT_NO	工艺单元号
IN_GOODS_LIST_WGT	进厂货单量
TYPE_DIV	类别区分
QI_NO	期号
BASE_RESOURCE	基础资源
CODE_9	9位码
JUDG_FLAG	判定标记
IR_MAT_TYPE	品种大类
PLANT	产地
QUALITY_INDEX	质量指标
ACLID	权限码
LATEST_SHIP_DATE	最晚装船日期
MAT_ARV_SEQ_NO_PLMS	原料到货通知序号_PLMS
